i J' Ka' Kc' inv' F' J" Ka" Kc" inv" F" nu unc fit fit2
113: 3 1 2 2 4 3 0 3 2 3 296614.24200 0.02000 -0.03328 -0.02233 
114: 3 1 2 2 2 3 0 3 2 2 296616.13200 0.02000 0.00702 0.01914 
115: 3 1 2 2 3 3 0 3 2 4 296616.13200 0.02000 0.00702 0.01914 
116: 3 1 2 2 3 3 0 3 2 2 296616.13200 0.02000 0.00702 0.01914 
117: 3 1 2 2 4 3 0 3 2 4 296616.13200 0.02000 0.00702 0.01914 
118: 4 3 2 1 4 4 2 2 0 4 296688.33000 0.10000 -0.02056 -0.01366
119: 5 3 2 1 5 5 2 3 1 5 309716.30000 0.10000 0.06235 0.04073
120: 5 3 2 0 5 5 2 3 0 5 309962.21000 0.10000 0.07329 0.08935
121: 12 6 7 0 12 12 5 7 1 12 318728.29500 0.05000 0.05203 -0.00124
122: 12 6 7 0 12 12 5 7 1 12 318728.36000 0.10000 0.11703 0.06376
123: 12 6 7 1 12 12 5 7 0 12 324779.40000 0.10000 0.04055 0.01204
124: 2 2 1 0 2 2 1 2 0 2 332445.93000 0.10000 0.11081 0.11776
125: 1 1 1 3 0 0 0 0 3 1 335445.43100 0.01000 0.00836 0.00410
126: 1 1 1 3 2 0 0 0 3 1 335446.24000 0.01000 0.01254 0.00709
127: 1 1 1 3 1 0 0 0 3 1 335446.76000 0.01000 -0.00401 -0.01025
128: 1 1 1 2 0 0 0 0 2 1 335512.89200 0.01000 -0.00181 0.00037
129: 1 1 1 2 2 0 0 0 2 1 335513.71500 0.01000 0.01171 0.01270
130: 1 1 1 2 1 0 0 0 2 1 335514.24800 0.01000 0.00505 0.00525
131: 2 2 0 2 2 2 1 2 3 2 346351.16200 0.05000 -0.00335 0.02773
132: 2 2 0 2 1 2 1 2 3 2 346353.23200 0.05000 -0.11218 -0.07794
133: 2 2 0 2 2 2 1 2 3 1 346353.23200 0.05000 -0.11218 -0.07794
134: 2 2 0 2 3 2 1 2 3 3 346353.23200 0.05000 -0.11218 -0.07794
135: 2 2 0 2 1 2 1 2 3 1 346354.64200 0.05000 -0.06554 -0.02933
136: 6 3 3 1 6 6 2 4 1 6 351982.59700 0.05000 0.02031 -0.01277
137: 2 2 0 3 2 2 1 2 2 2 356227.42200 0.02000 0.00230 -0.00087
138: 2 2 0 3 2 2 1 2 2 3 356228.56500 0.02000 0.00375 0.00223 
139: 2 2 0 3 3 2 1 2 2 2 356228.56500 0.02000 0.00375 0.00223 
140: 2 2 0 3 1 2 1 2 2 2 356229.61100 0.02000 0.00676 0.00675 
141: 2 2 0 3 2 2 1 2 2 1 356229.61100 0.02000 0.00676 0.00675 
142: 2 2 0 3 3 2 1 2 2 3 356229.61100 0.02000 0.00676 0.00675 
143: 2 2 0 3 1 2 1 2 2 1 356230.98000 0.02000 0.00880 0.01076
144: 9 5 5 0 9 9 4 5 1 9 375035.49000 0.10000 -0.01889 -0.02526
145: 1 1 0 0 1 0 0 0 1 0 378500.42000 0.10000 0.01250 0.03092
146: 9 5 5 1 9 9 4 5 0 9 382349.03000 0.10000 0.06147 0.05599
147: 5 2 3 1 5 5 1 4 1 5 383352.88000 0.10000 0.05996 0.06523
148: 5 2 3 0 5 5 1 4 0 5 383503.49000 0.10000 0.06467 0.04526
149: 1 1 0 1 1 0 0 0 0 0 388651.92000 0.10000 0.02090 0.01318
150: 6 4 3 0 6 6 3 3 1 6 395212.30000 0.10000 -0.08586 -0.08503
151: 7 4 3 1 7 7 3 4 1 7 406603.01000 0.10000 -0.06436 -0.09111
152: 7 4 3 0 7 7 3 4 0 7 406930.11000 0.10000 0.14381 0.17164
153: 2 0 2 2 1 1 1 0 3 0 410487.79000 0.04000 -0.03951 -0.04122
154: 2 0 2 2 3 1 1 0 3 2 410490.13600 0.02000 -0.00586 -0.00466
155: 2 0 2 2 2 1 1 0 3 1 410492.33800 0.02000 -0.00412 0.00030
156: 14 7 8 1 14 14 6 8 0 14 410887.22000 0.05000 0.00452 0.01773
157: 3 2 2 2 2 3 1 3 2 3 414788.76800 0.05000 -0.02025 -0.00187 
158: 3 2 2 2 3 3 1 3 2 3 414788.76800 0.05000 -0.02025 -0.00187 
159: 3 2 2 2 4 3 1 3 2 3 414788.76800 0.05000 -0.02025 -0.00187 
160: 3 2 2 2 2 3 1 3 2 2 414790.56700 0.05000 0.02918 0.04965 
161: 3 2 2 2 3 3 1 3 2 2 414790.56700 0.05000 0.02918 0.04965 
162: 3 2 2 2 3 3 1 3 2 4 414790.56700 0.05000 0.02918 0.04965 
163: 3 2 2 2 4 3 1 3 2 4 414790.56700 0.05000 0.02918 0.04965 
164: 2 0 2 1 2 1 1 0 0 1 420634.35000 0.10000 -0.01765 -0.03568
165: 6 4 2 1 6 6 3 3 1 6 440102.12600 0.05000 -0.01893 -0.02793
166: 3 3 0 0 3 3 2 2 1 3 442398.11500 0.05000 0.03817 0.04245
167: 3 3 1 0 3 3 2 2 0 3 443297.35500 0.05000 0.00501 -0.01029
168: 3 3 1 1 3 3 2 2 1 3 444316.91500 0.05000 -0.03598 -0.03279
169: 7 3 4 1 7 7 2 5 1 7 461050.79100 0.05000 -0.03036 -0.07661
170: 2 0 2 0 2 1 1 1 0 1 463628.59000 0.10000 -0.08255 -0.08929
171: 2 0 2 1 2 1 1 1 1 1 463688.49000 0.10000 0.03174 0.03771
172: 11 6 6 0 11 11 5 6 1 11 473978.33000 0.10000 0.04271 0.01232
173: 11 6 6 1 11 11 5 6 0 11 480221.39000 0.10000 0.19457 0.15131
174: 7 2 5 1 7 6 5 1 0 6 486572.69200 0.05000 0.00059 0.05623
175: 5 4 2 0 5 5 3 2 1 5 487342.42000 0.05000 0.00071 -0.00998
176: 5 4 2 1 5 5 3 2 0 5 495682.95500 0.05000 -0.01298 -0.00280
177: 3 2 1 3 2 3 1 3 2 3 500437.76100 0.05000 -0.00565 0.01489 
