Table S7 
Observed and calculated wavenumbers and frequencies of the assigned transitions of ND2H,
ordered by increasing energy.
The vibration quantum number for the upper and lower states of transition, VU and VL,
are in the first and fifth columns; 0 and 1 indicate symmetric and antisymmetric with respect to inversion.
The transitions marked by *** are discarded in the last cycle of refinement.


  VU   JU   KUA  KUC    VL   JL   KLA  KLC    OBS/CM-1     CALC/CM-1   O-C/CM-1       OBS/MHz    O-C/MHz    UNC/MHz
   1   11    6    6      0   11    5    6    16.018461     16.018455   0.000007     480221.390     0.203     0.100
   1    7    2    5      0    6    5    1    16.230318     16.230321  -0.000003     486572.692    -0.076     0.050
   0    5    4    2      1    5    3    2    16.255993     16.255991   0.000003     487342.420     0.079     0.050
   1    5    4    2      0    5    3    2    16.534204     16.534203   0.000001     495682.955     0.016     0.050
   1    5    4    1      1    5    3    2    16.709803     16.709801   0.000002     500947.302     0.058     0.050
   0    5    4    1      0    5    3    2    16.728959     16.728959   0.000000     501521.574     0.008     0.050
   0   16    8    9      1   16    7    9    16.834751     16.834751   0.000000     504693.126     0.002     0.050
   1    9    5    4      1    9    4    5    16.842027     16.842026   0.000001     504911.265     0.029     0.050
   0    9    5    4      0    9    4    5    16.855507     16.855507   0.000000     505315.377    -0.001     0.050
   0    8    5    4      1    8    4    4    16.932095     16.932096  -0.000001     507611.451    -0.023     0.050
   0    8    5    4      1    8    4    4    16.932103     16.932096   0.000007     507611.690     0.216     0.100
   1   16    8    9      0   16    7    9    16.966377     16.966379  -0.000001     508639.198    -0.041     0.050
   1   10    5    5      1   10    4    6    17.098465     17.098463   0.000003     512599.097     0.086     0.050
   0   10    5    5      0   10    4    6    17.107626     17.107626  -0.000001     512873.710    -0.029     0.050
   0    4    3    1      1    4    2    3    17.114772     17.114772   0.000000     513087.953    -0.002     0.050
   0    4    3    1      1    4    2    3    17.114860     17.114772   0.000088     513090.595     2.639     7.495
   1    8    5    4      0    8    4    4    17.179788     17.179788   0.000001     515037.102     0.019     0.050
   1    8    5    4      0    8    4    4    17.179790     17.179788   0.000002     515037.150     0.067     0.100
   1    4    3    1      0    4    2    3    17.423901     17.423904  -0.000003     522355.415    -0.080     0.050
   1    9    4    5      1    9    3    6    17.747516     17.747514   0.000002     532057.144     0.063     0.050
   0    9    4    5      0    9    3    6    17.752587     17.752585   0.000001     532209.162     0.042     0.050
   1    6    2    4      1    6    1    5    18.145237     18.145238  -0.000001     543980.527    -0.021     0.050
   0    6    2    4      0    6    1    5    18.151888     18.151890  -0.000002     544179.908    -0.056     0.050
   0    4    4    1      1    4    3    1    18.221008     18.221005   0.000003     546252.078     0.086     0.050
   1    4    4    1      0    4    3    1    18.525080     18.525083  -0.000002     555367.932    -0.074     0.050
   0    4    4    0      1    4    3    2    19.320723     19.320718   0.000005     579220.706     0.143     0.100
   0    4    4    0      1    4    3    2    19.320910     19.320718   0.000192     579226.310     5.747     7.495
   0   13    7    7      1   13    6    7    19.405366     19.405369  -0.000003     581758.233    -0.080     0.050
   1   13    7    7      0   13    6    7    19.577095     19.577095   0.000000     586906.553    -0.001     0.050
   1    4    4    0      0    4    3    2    19.624418     19.624419  -0.000001     588325.254    -0.021     0.050
   1   12    6    6      1   12    5    7    19.788434     19.788431   0.000003     593242.326     0.089     0.050
   0   12    6    6      0   12    5    7    19.799122     19.799124  -0.000002     593562.750    -0.059     0.050
   1    5    4    2      1    5    3    3    19.833333     19.833332   0.000002     594588.376     0.049     0.050
   0    5    4    1      1    5    3    3    20.027680     20.028087  -0.000407     600414.742   -12.212     7.495
   1    5    4    1      0    5    3    3    20.306060     20.305773   0.000287     608760.364     8.617     7.495
   0    7    5    3      1    7    4    3    20.582912     20.582913   0.000000     617060.188    -0.014     0.050
   0    7    5    3      1    7    4    3    20.583230     20.582913   0.000317     617069.712     9.509     7.495
   1    7    5    3      0    7    4    3    20.830083     20.830083   0.000000     624470.175    -0.010     0.050
   0    4    2    3      0    3    3    0    20.937578     20.937576   0.000003     627692.811     0.081     0.050
   1    4    2    3      0    3    3    1    21.228340     21.228342  -0.000002     636409.635    -0.059     0.050
   0    6    3    4      0    6    2    5    21.837886     21.837885   0.000001     654683.364     0.038     0.050
   1    5    3    2      0    5    2    4    22.161682     22.161684  -0.000002     664390.498    -0.067     0.050
   1    5    3    2      0    5    2    4    22.162280     22.161684   0.000596     664408.440    17.874     7.495
   0    6    4    2      1    6    3    4    22.186580***  22.187412  -0.000832     665136.935   -24.940     7.495
   0    6    4    2      1    6    3    4    22.187414     22.187412   0.000002     665161.928     0.052     0.050
   1    3    1    2      0    2    2    0    22.427849     22.427852  -0.000004     672369.984    -0.106     0.050
   1    3    1    2      0    2    2    0    22.428260     22.427852   0.000408     672382.319    12.229     7.495
   1    6    4    2      0    6    3    4    22.468227     22.468228  -0.000001     673580.494    -0.039     0.050
   1    8    2    6      0    7    5    2    22.794632     22.794634  -0.000002     683365.874    -0.069     0.030
   0    6    5    2      1    6    4    2    22.959570     22.958994   0.000576     688310.592    17.267     7.495
