 nu1  nu2  nu3a  nu3b  nu4a  nu4b  J  Ka  Kc inv      E"        E/Mhz
   0    0     0     0     0     0  9   5   5   a  491.391782  14731560.00
   0    0     0     0     0     0  9   5   4   s  495.493503  14854520.00
   0    0     0     0     0     0  9   5   4   a  495.610285  14858020.00
   0    0     0     0     0     0  8   8   1   s  511.115121  15322850.00
   0    0     0     0     0     0  8   8   0   s  511.115144  15322850.00
   0    0     0     0     0     0  8   8   1   a  511.229470  15326270.00
   0    0     0     0     0     0  8   8   0   a  511.229492  15326270.00
   0    0     0     0     0     0 11   0  11   s  520.180285  15594610.00
   0    0     0     0     0     0 11   1  11   s  520.180298  15594610.00
   0    0     0     0     0     0 11   0  11   a  520.373310  15600400.00
   0    0     0     0     0     0 11   1  11   a  520.373324  15600400.00
   0    0     0     0     0     0  9   6   4   s  520.554482  15605830.00
   0    0     0     0     0     0  9   6   4   a  520.648982  15608660.00
   0    0     0     0     0     0 10   2   8   s  520.967686  15618220.00
   0    0     0     0     0     0  9   6   3   s  521.051926  15620740.00
   0    0     0     0     0     0 10   3   8   s  521.072694  15621370.00
   0    0     0     0     0     0 10   2   8   a  521.109480  15622470.00
   0    0     0     0     0     0  9   6   3   a  521.147053  15623600.00
   0    0     0     0     0     0 10   3   8   a  521.214109  15625610.00
   0    0     0     0     0     0 10   3   7   s  553.775441  16601770.00
   0    0     0     0     0     0 10   3   7   a  553.905385  16605670.00
   0    0     0     0     0     0  9   7   3   s  554.947162  16636900.00
   0    0     0     0     0     0  9   7   2   s  554.963494  16637390.00
   0    0     0     0     0     0  9   7   3   a  555.071323  16640620.00
   0    0     0     0     0     0  9   7   2   a  555.087695  16641110.00
   0    0     0     0     0     0 10   4   7   s  555.185866  16644050.00
   0    0     0     0     0     0 10   4   7   a  555.312119  16647840.00
   0    0     0     0     0     0 11   1  10   s  570.641216  17107390.00
   0    0     0     0     0     0 11   2  10   s  570.642283  17107430.00
   0    0     0     0     0     0 11   1  10   a  570.804106  17112280.00
   0    0     0     0     0     0 11   2  10   a  570.805167  17112310.00
   0    0     0     0     0     0 10   4   6   s  576.921417  17295670.00
   0    0     0     0     0     0 10   4   6   a  577.046965  17299430.00
   0    0     0     0     0     0 10   5   6   s  585.130165  17541760.00
   0    0     0     0     0     0 10   5   6   a  585.242172  17545120.00
   0    0     0     0     0     0 10   5   5   s  594.029043  17808540.00
   0    0     0     0     0     0 10   5   5   a  594.145427  17812030.00
   0    0     0     0     0     0  9   8   2   s  595.087813  17840280.00
   0    0     0     0     0     0  9   8   1   s  595.088177  17840290.00
   0    0     0     0     0     0  9   8   2   a  595.200904  17843670.00
   0    0     0     0     0     0  9   8   1   a  595.201268  17843690.00
   0    0     0     0     0     0 12   0  12   s  612.134370  18351330.00
   0    0     0     0     0     0 12   1  12   s  612.134373  18351330.00
   0    0     0     0     0     0 12   0  12   a  612.333250  18357290.00
   0    0     0     0     0     0 12   1  12   a  612.333254  18357290.00
   0    0     0     0     0     0 10   6   5   s  614.999510  18437220.00
   0    0     0     0     0     0 10   6   5   a  615.094752  18440080.00
   0    0     0     0     0     0 11   2   9   s  615.290601  18445950.00
   0    0     0     0     0     0 11   3   9   s  615.324678  18446970.00
   0    0     0     0     0     0 11   2   9   a  615.431179  18450160.00
   0    0     0     0     0     0 11   3   9   a  615.465114  18451180.00
   0    0     0     0     0     0 10   6   4   s  616.641976  18486460.00
   0    0     0     0     0     0 10   6   4   a  616.739087  18489370.00
   0    0     0     0     0     0  9   9   1   s  640.731545  19208650.00
   0    0     0     0     0     0  9   9   0   s  640.731548  19208650.00
   0    0     0     0     0     0  9   9   1   a  640.834652  19211740.00
   0    0     0     0     0     0  9   9   0   a  640.834655  19211740.00
   0    0     0     0     0     0 10   7   4   s  648.952700  19455110.00
   0    0     0     0     0     0 10   7   3   s  649.013477  19456930.00
   0    0     0     0     0     0 10   7   4   a  649.122331  19460200.00
   0    0     0     0     0     0 10   7   3   a  649.183308  19462030.00
   0    0     0     0     0     0 11   3   8   s  653.525424  19592200.00
   0    0     0     0     0     0 11   3   8   a  653.650900  19595960.00
   0    0     0     0     0     0 11   4   8   s  654.086787  19609030.00
   0    0     0     0     0     0 11   4   8   a  654.210527  19612740.00
   0    0     0     0     0     0 12   1  11   s  667.451485  20009690.00
   0    0     0     0     0     0 12   2  11   s  667.451781  20009700.00
   0    0     0     0     0     0 12   1  11   a  667.616507  20014640.00
   0    0     0     0     0     0 12   2  11   a  667.616801  20014650.00
   0    0     0     0     0     0 11   4   7   s  683.025997  20476600.00
   0    0     0     0     0     0 11   4   7   a  683.145184  20480180.00
   0    0     0     0     0     0 11   5   7   s  687.592758  20613510.00
   0    0     0     0     0     0 11   5   7   a  687.702457  20616800.00
   0    0     0     0     0     0 10   8   3   s  688.609467  20643990.00
   0    0     0     0     0     0 10   8   2   s  688.612515  20644080.00
   0    0     0     0     0     0 10   8   3   a  688.721096  20647340.00
   0    0     0     0     0     0 10   8   2   a  688.724154  20647430.00
   0    0     0     0     0     0 11   5   6   s  702.987940  21075050.00
   0    0     0     0     0     0 11   5   6   a  703.101929  21078470.00
   0    0     0     0     0     0 13   0  13   s  711.475275  21329490.00
   0    0     0     0     0     0 13   1  13   s  711.475275  21329490.00
   0    0     0     0     0     0 13   0  13   a  711.680809  21335650.00
   0    0     0     0     0     0 13   1  13   a  711.680810  21335650.00
   0    0     0     0     0     0 12   2  10   s  716.964907  21494070.00
   0    0     0     0     0     0 12   3  10   s  716.975571  21494390.00
   0    0     0     0     0     0 12   2  10   a  717.104793  21498260.00
   0    0     0     0     0     0 12   3  10   a  717.115406  21498580.00
   0    0     0     0     0     0 11   6   6   s  718.912145  21552440.00
   0    0     0     0     0     0 11   6   6   a  719.006395  21555270.00
   0    0     0     0     0     0 11   6   5   s  723.222664  21681670.00
   0    0     0     0     0     0 11   6   5   a  723.320885  21684610.00
   0    0     0     0     0     0 10   9   2   s  733.940366  22002980.00
   0    0     0     0     0     0 10   9   1   s  733.940420  22002980.00
   0    0     0     0     0     0 10   9   2   a  734.042248  22006030.00
   0    0     0     0     0     0 10   9   1   a  734.042302  22006030.00
   0    0     0     0     0     0 11   7   5   s  752.673843  22564590.00
   0    0     0     0     0     0 11   7   5   a  752.749126  22566850.00
   0    0     0     0     0     0 11   7   4   s  753.207607  22580600.00
   0    0     0     0     0     0 11   7   4   a  753.283627  22582880.00
   0    0     0     0     0     0 12   3   9   s  760.316300  22793710.00
   0    0     0     0     0     0 12   3   9   a  760.438315  22797370.00
   0    0     0     0     0     0 12   4   9   s  760.522849  22799900.00
   0    0     0     0     0     0 12   4   9   a  760.644126  22803540.00
   0    0     0     0     0     0 13   1  12   s  771.645290  23133340.00
