inv',J',K'a,K'c,inv,J,Ka,Kc,nu,
a,4,1,4,a,5,1,5,1422.7944,
a,4,1,4,a,3,1,3,1494.8762,
a,4,2,2,a,4,2,3,1471.5913,
a,4,2,2,a,5,2,3,1415.8641,
a,4,2,2,a,3,2,1,1504.7498,
a,4,3,1,a,4,3,2,1465.6945,
a,4,3,1,a,3,3,0,1502.7973,
a,4,4,0,a,5,4,1,1415.5698,
a,4,4,0,a,4,4,1,1462.6978,
a,4,4,1,a,5,4,2,1415.8409,
a,4,4,1,a,4,4,0,1462.6123,
a,5,0,5,a,4,0,4,1502.9156,
a,5,0,5,a,6,0,6,1415.6225,
a,5,1,4,a,4,1,3,1510.5496,
a,5,1,4,a,6,1,5,1412.4999,
a,5,1,5,a,6,1,6,1415.6390,
a,5,1,5,a,5,1,4,1442.4216,
a,5,1,5,a,4,1,4,1502.7973,
a,5,2,3,a,4,2,2,1515.5918,
a,5,2,3,a,6,2,4,1408.3369,
a,5,2,3,a,5,2,4,1477.9930,
a,5,3,2,a,5,3,3,1469.4432,
a,5,3,2,a,6,3,3,1406.6017,
a,5,4,1,a,6,4,2,1407.6404,
a,5,4,1,a,5,4,2,1465.3331,
a,5,4,2,a,6,4,3,1408.8147,
a,5,4,2,a,4,4,1,1511.9487,
a,5,4,2,s,5,4,2,1465.9036,
a,5,4,2,s,6,4,2,1408.2198,
a,5,5,1,a,6,5,2,1406.7641,
a,5,5,1,a,5,5,0,1462.9481,
a,6,1,6,a,7,1,7,1408.5233,
a,6,1,6,a,5,1,5,1510.6593,
a,6,2,4,a,7,2,5,1401.7632,
a,6,2,4,a,5,2,3,1525.4186,
a,6,2,4,a,6,2,5,1485.1582,
a,6,3,4,a,5,3,3,1523.0880,
a,6,3,4,a,6,3,3,1460.2442,
a,6,3,4,a,7,3,5,1404.3051,
a,6,4,3,a,5,4,2,1525.2199,
a,6,4,3,a,6,4,2,1467.5313,
a,6,6,0,a,6,6,1,1462.7926,
a,6,6,0,a,7,6,1,1397.3127,
a,6,6,1,a,7,6,2,1397.3127,
a,6,6,1,a,6,6,0,1462.7786,
a,7,1,7,a,6,1,6,1519.4097,
a,7,1,7,a,8,1,8,1402.3381,
a,8,4,5,a,8,4,4,1464.4804,
a,8,4,5,a,9,4,6,1389.8562,
a,8,8,0,a,9,8,1,1377.7311,
a,8,8,0,a,8,8,1,1461.7066,
a,8,8,1,a,9,8,2,1377.7311,
a,8,8,1,a,8,8,0,1461.7066,
